subsec,tamaño,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,apariciones
1,11,1,0,0,0,0,0,0,0,0,0,1
2,12,0,0,3,0,0,0,0,0,0,0,1
3,18,0,0,0,0,0,0,0,0,1,0,1
4,19,0,0,0,0,0,0,0,0,0,1,1
5,20,1,0,0,0,0,0,0,0,0,0,1
6,11,0,0,0,1,0,0,0,0,0,0,1
7,17,0,0,0,0,0,0,0,0,0,1,1
8,17,0,0,0,0,0,0,0,0,0,0,0
9,5,2,1,0,0,0,0,0,0,0,0,3
10,4,2,2,3,2,0,1,5,4,5,1,25
11,10,1,0,0,0,0,0,0,0,0,0,1
12,9,0,0,0,0,1,0,0,0,0,0,1
13,12,0,0,0,0,0,0,0,0,0,0,0
14,11,0,0,0,0,0,0,0,0,1,0,1
15,19,0,0,0,0,0,0,0,0,1,0,1
16,10,0,0,0,0,0,0,0,0,0,1,1
17,8,0,0,0,0,1,0,0,0,0,0,1
18,9,0,0,0,0,0,0,0,0,1,0,1
19,17,0,0,0,0,0,0,1,0,0,0,1
20,10,0,0,0,0,0,0,1,0,0,0,1
21,16,0,0,0,0,0,1,0,0,0,0,1
22,10,0,0,1,0,0,0,0,0,0,0,1
23,5,0,0,0,0,0,0,0,0,0,1,1
24,14,0,0,0,0,0,0,0,0,0,0,0
25,19,0,0,0,0,0,0,1,0,0,0,1
26,19,0,0,0,0,1,0,0,0,0,0,1
27,19,0,0,0,0,0,0,0,0,0,0,0
28,4,3,3,0,1,1,0,1,4,1,1,14
29,9,0,0,0,0,0,0,1,0,0,0,1
30,6,0,0,0,0,0,0,0,1,0,0,1
31,18,0,0,0,0,0,0,0,0,0,0,0
32,7,0,1,0,0,0,0,0,1,0,0,2
33,12,0,0,0,0,0,0,0,1,0,0,1
34,14,0,0,0,0,1,0,0,0,0,0,1
35,11,0,0,0,0,0,0,0,0,0,0,0
36,8,0,0,0,0,0,0,1,0,0,0,1
37,13,0,0,0,0,0,1,0,0,0,0,1
38,12,1,0,0,0,0,0,0,0,0,0,1
39,18,0,0,1,0,0,0,0,0,0,0,1
40,20,0,0,1,0,0,0,0,0,0,0,1
41,11,1,0,0,0,0,0,0,0,0,0,1
42,17,0,0,0,0,0,0,0,0,0,0,0
43,11,0,0,0,0,0,0,0,1,0,0,1
44,9,0,0,0,0,0,0,0,1,0,0,1
45,15,0,0,0,0,0,0,0,0,0,0,0
46,16,0,0,0,0,0,0,1,0,0,0,1
47,4,2,0,0,1,0,1,1,1,1,1,8
48,16,0,0,0,0,0,1,0,0,0,0,1
49,18,0,0,0,0,1,0,0,0,0,0,1
50,15,0,0,0,0,0,0,0,0,1,0,1
51,15,0,0,0,0,0,0,0,0,0,1,1
52,7,0,0,1,0,0,1,0,0,0,0,2
53,16,0,0,0,0,0,0,0,0,0,0,0
